type,identifier,latitude,longitude,township_name_en
FT-SBS,005U04ZLWY,16.778051,96.140016,Lanmadaw
FT-SBS,005M03ZLWY,16.776802,96.139957,Lanmadaw
FT-SBS,008M02ZLWY,16.776178,96.141661,Lanmadaw
FT-SBS,008M03ZLWY,16.776737,96.141688,Lanmadaw
FE,005M02ZLWY,16.776241,96.139954,Lanmadaw
FT-SBS,005M01ZLWY,16.775744,96.139922,Lanmadaw
FT-SBS,LTTM01ZLWY,16.775336,96.141986,Lanmadaw
FT-SBS,LTTM02ZLWY,16.77532,96.142238,Lanmadaw
FT-SBS,HDNM02ZLWY,16.775609,96.143538,Lanmadaw
FT-SBS,LTTM03ZLWY,16.775835,96.141998,Lanmadaw
FT-SBS,013L01ZLWY,16.773698,96.145353,Lanmadaw
FT-SBS,HDNM03ZLWY,16.775974,96.143433,Lanmadaw
FT-SBS,LTTM04ZLWY,16.77599,96.142262,Lanmadaw
FT-SBS,006M03ZLWY,16.776836,96.140379,Lanmadaw
FT-SBS,HDNM04ZLWY,16.776371,96.143572,Lanmadaw
FT-SBS,LTTM05ZLWY,16.776571,96.142032,Lanmadaw
FT-SBS,006M02ZLWY,16.776287,96.140365,Lanmadaw
FE,HDNM05ZLWY,16.776969,96.143607,Lanmadaw
FT-SBS,LTTU07ZLWY,16.77776,96.142319,Lanmadaw
FT-SBS,013L02ZLWY,16.774129,96.145369,Lanmadaw
FT-SBS,013M03ZLWY,16.775558,96.145421,Lanmadaw
FT-SBS,007M01ZLWY,16.775673,96.141237,Lanmadaw
FT-SBS,013M04ZLWY,16.77607,96.145443,Lanmadaw
FT-SBS,009M01ZLWY,16.775657,96.142689,Lanmadaw
FT-SBS,009M03ZLWY,16.776714,96.142715,Lanmadaw
FT-SBS,011M02ZLWY,16.775545,96.143973,Lanmadaw
FE,011M03ZLWY,16.776103,96.14399,Lanmadaw
FE,011M04ZLWY,16.776676,96.144007,Lanmadaw
FT-SBS,013U06ZLWY,16.777437,96.145481,Lanmadaw
FT-SBS,011U05ZLWY,16.777552,96.144028,Lanmadaw
FT-SBS,010M02ZLWY,16.775563,96.143067,Lanmadaw
Utility Pole,014L01ZLWY,16.773243,96.145742,Lanmadaw
Utility Pole,010M03ZLWY,16.776125,96.143102,Lanmadaw
FT-SBS,014L02ZLWY,16.77365,96.145765,Lanmadaw
Utility Pole,010M04ZLWY,16.776692,96.143115,Lanmadaw
Utility Pole,014L03ZLWY,16.774165,96.145794,Lanmadaw
FE,012L01ZLWY,16.77417,96.144334,Lanmadaw
FT-SBS,014M04ZLWY,16.775466,96.145831,Lanmadaw
FT-SBS,012M02ZLWY,16.775525,96.144378,Lanmadaw
FT-SBS,014M05ZLWY,16.776046,96.145853,Lanmadaw
FT-SBS,012M03ZLWY,16.776119,96.144411,Lanmadaw
FT-SBS,014M06ZLWY,16.776562,96.145874,Lanmadaw
FT-SBS,012M04ZLWY,16.776727,96.144438,Lanmadaw
Utility Pole,014U07ZLWY,16.77791,96.145908,Lanmadaw
FT-SBS,012U05ZLWY,16.77743,96.144486,Lanmadaw
FT-SBS,PGIL02ZLWY,16.774002,96.144933,Lanmadaw
FT-SBS,STNL01ZLWY,16.773097,96.146208,Lanmadaw
Utility Pole,STNL02ZLWY,16.773521,96.146101,Lanmadaw
FT-SBS,PGIL04ZLWY,16.77438,96.14495,Lanmadaw
